node,degree_centrality,betweenness,closeness
0,0.08593363051015354,0.1614464972567622,0.35334266713335666
1,0.004210004952947003,2.2505900876661e-06,0.2613761408505405
2,0.0024764735017335313,6.205127619618727e-08,0.26125776397515527
3,0.004210004952947003,3.8154019761649185e-06,0.2613761408505405
4,0.0024764735017335313,1.238543472875898e-07,0.26125776397515527
5,0.0032194155522535907,2.8392134659164633e-06,0.2613084837895554
6,0.0014858841010401188,0.0,0.26119016817593793
7,0.004952947003467063,0.00016405295318020123,0.2747686445291236
8,0.001981178801386825,0.0,0.2612239617026782
9,0.014115898959881128,1.7209935478744518e-05,0.2620546433902265
10,0.0024764735017335313,0.0,0.26125776397515527
11,0.00024764735017335313,0.0,0.26110572259941806
12,0.00024764735017335313,0.0,0.26110572259941806
13,0.007677067855373947,5.250587963964781e-07,0.26161321671525756
14,0.003714710252600297,1.533434775941588e-07,0.2613423079412336
15,0.00024764735017335313,0.0,0.26110572259941806
16,0.002228826151560178,2.771978248817486e-07,0.2612408617454875
17,0.0032194155522535907,1.415478254715312e-07,0.2613084837895554
18,0.00024764735017335313,0.0,0.26110572259941806
19,0.00396235760277365,0.0,0.2613592233009709
20,0.003714710252600297,1.2499459365944378e-06,0.2613423079412336
21,0.016097077761267953,0.0012367649804686685,0.2756125861715924
22,0.0027241208519068845,4.708609860950708e-07,0.2612746683921061
23,0.004210004952947003,6.9358434481050285e-06,0.2613761408505405
24,0.00396235760277365,9.731413001167769e-08,0.2613592233009709
25,0.017087667161961365,9.414408616426919e-05,0.26225888160031174
26,0.016840019811788013,2.8405405894190213e-05,0.26224184959085595
27,0.0012382367508667657,0.0,0.2611732746911584
28,0.0032194155522535907,1.533434775941588e-07,0.2613084837895554
29,0.0032194155522535907,0.0,0.2613084837895554
30,0.004210004952947003,4.147110916076928e-07,0.2613761408505405
31,0.005695889053987122,7.345658497503927e-06,0.2614776921582594
32,0.0014858841010401188,0.0,0.26119016817593793
33,0.0004952947003467063,0.0,0.26112260734609416
34,0.0012382367508667657,0.003926451625298841,0.3033125516412529
35,0.0004952947003467063,0.0,0.26112260734609416
36,0.0027241208519068845,1.1009275314452425e-07,0.2612746683921061
37,0.00024764735017335313,0.0,0.26110572259941806
38,0.002228826151560178,1.0377133457269112e-06,0.2612408617454875
39,0.003714710252600297,2.03462626053659e-07,0.2613423079412336
40,0.010896483407627538,1.28313913062662e-05,0.26183374400207493
41,0.005943536404160475,8.433891267678734e-07,0.26149462504856885
42,0.0004952947003467063,0.0,0.26112260734609416
43,0.00024764735017335313,0.0,0.26110572259941806
44,0.0014858841010401188,0.0,0.26119016817593793
45,0.0029717682020802376,7.215007215007215e-07,0.2612915749967646
46,0.0012382367508667657,0.0,0.2611732746911584
47,0.0004952947003467063,0.0,0.26112260734609416
48,0.005448241703813769,4.577262131523148e-06,0.26146076146076147
49,0.0009905894006934125,9.908347783007184e-07,0.26115638339154057
50,0.0027241208519068845,0.0,0.2612746683921061
51,0.001733531451213472,0.0,0.2612070638463031
52,0.0004952947003467063,0.0,0.26112260734609416
53,0.007677067855373947,1.840434248120051e-05,0.26161321671525756
54,0.001981178801386825,0.0,0.2612239617026782
55,0.004210004952947003,7.25501991730554e-08,0.2613761408505405
56,0.019316493313521546,0.001305997422291738,0.27585735756250856
57,0.003714710252600297,2.819750639914128e-06,0.2613423079412336
58,0.0029717682020802376,0.08274083690556457,0.3974018305284913
59,0.0047052996532937095,5.549875228974393e-07,0.2614099825208778
60,0.001981178801386825,1.1314835662565056e-07,0.2612239617026782
61,0.0007429420505200594,0.0,0.2611394942766604
62,0.0064388311045071814,5.112812392675671e-06,0.26152849740932643
63,0.0014858841010401188,0.0,0.26119016817593793
